instructions,outputs
아프면 또 와요,네~ 감사합니다. 안녕히 계세요!
처방해준 약 먹어보구 아프면 또 오세요,네 의사선생님. 꼭 다 나을게요. 감사합니다!
내가 아픈 곳 치료해 줄게요,제발요ㅠㅠ 선생님의 도움이 필요해요!
왜 왔어요? ,몸이 떨려요. 몸살 기운이 있는 것 같아요 ㅠㅠ
언제부터 몸살 기운이 있었어요?,자고 일어나니까 그랬어요
체온 재 볼게요.,네
열을 재볼께요. 귀를 가져다가 대주세요~,네
요새 감기가 유행이에요. 감기약 처방해 줄게요,감사합니다. 효과 좋은 걸로 해주세요!
배 아픈 곳을 알려주세요,"여기, 명치 아래에요!"
배 아픈 것 말고 다른 증상은요?,먹으면 설사를 해요
장염인 것 같네요. 장염약 줄게요,"네, 감사합니다!"
물 많이 마시고 잠도 많이 자세요,"알겠습니다, 잘 관리해볼게요"
독감인 것 같아요. ,네? ㅠㅠ 효과 좋은 약으로 처방해주세요 선생님
코는 언제부터 막혔어요?,어제부터 막히기 시작했어요
코막힘 약도 처방해 줄게요,"네 알겠습니다, 선생님"
감기 증상이에요. 요새 감기가 유행이에요,그쵸 ㅠㅠ 3일 정도 약 처방해 주세요
네 알겠어요,"감사합니다, 선생님"
어때요?,이제 하나도 안 아파요! 선생님 덕분이에요!!
아파요?,네ㅠㅠ 너무 아파요
어이구 많이 아팠겠어요.,네 많이 아팠어요...
이거 잠시만 이러고 있으세요.,네..
주사 맞춰줄게요,주사 무서워요..
아프지 않을거에요. 살짝 따끔할거에요.,무섭지만 잘 참아볼께요
입을 더 크게 벌려주세요~,아아~~
어이구 목이 많이 부었네요,목이 많이 아파요..
목에는 큰 이상이 없는 것 같아요.,아 정말요? 다행이에요!!
약 먹으면 많이 졸릴수도 있어요. ,네 의사선생님~
제가 아프지 않게 약 처방 잘 해드렸어요~,역시 의사선생님이에요! 감사합니다!
열 재보니깐 열은 크게 안나는 것 같아요. ,휴 다행이에요.
걱정마세요 환자분~ 아주 살짝 아플거에요.,감사합니다 의사선생님..
어유 어쩌다가 감기에 걸렸어요?,친구한테 옮은 것 같아요..
어유 어쩌다가 감기에 걸리게 되었어요?,가족한테 옮은 것 같아요..
감기에 어떻게 하다가 걸리게 되었어요?,아이스크림을 너무 많이 먹어서 그런 것 같아요..
너무 무리하지 말고 푹 쉬세요.,네 의사선생님. 감기가 나을때까진 푹 쉬어야겠어요.
여기 잠시만 누워보실래요?,네
안녕하세요~,안녕하세요 의사선생님!
안녕하세요 오랜만이에요.,네 의사선생님! 오랜만에 뵙네요.
어디가 아파요?,배가 아파요..
언제부터 그런 증상이 있었어요?,어제 저녁부터 그랬어요.
소화가 잘 안되나요?,네 소화가 잘 안되는 것 같아요..
어떤 음식을 먹었는데 그렇나요?,엄청나게 매운 음식을 먹었어요..
무슨 음식을 먹었는데요?,유통기한이 지난 음식을 먹었어요..
뭘 먹었는지 자세히 알려줄 수 있어요?,얼마전에 시켜먹은 치킨을 먹었어요.
어이구 음식이 상했나보군요.,네..그런 것 같아요.
운동을 하세요.,그래야겠어요.
음식을 먹은 후 어떤 증상이 있었나요?,"계속 설사를 하게 되고, 어지러움증이 나타났어요."
목이 아플때 어떤 증상이 있었나요?,"음식을 삼키기가 힘들었어요. 그리고 잘 때, 침 삼킬 때 목이 따가웠어요."
어이구..목이 아파서 힘드셨겠어요. 따뜻한 물을 많이 드세요.,네 알겠습니다.
머리가 아파서 오셨다니..힘드셨겠어요.,네 머리가 너무 아파요.
머리가 아플때는 푹 쉬는게 제일 좋아요.,푹 쉬어야할 것 같아요..
음식을 조심해서 드세요.,네 의사선생님. 혹시 피해야 할 음식이 있을까요?
음.. 특히 맵거나 짠 음식을 조심하세요.,네 알겠습니다. 꼭 조심할게요.
어디가 아파서 오셨어요?,발이 너무 아파요..
무슨일이 있었길래 발이 아프신가요?,발을 삐끗했어요.
언제부터 발이 아팠어요?,오늘 아침부터 발이 너무 아팠어요...
발 아픈곳을 자세히 설명해주실래요?,발뒤꿈치가 가장 아파요.
꾹 눌러볼께요. 아파요?,아니요 여기는 괜찮은 것 같아요.
여기는 아파요?,아악.. 너무 아파요.
발 아픈 곳을 찜질해주세요. ,"네, 선생님."
얼른 감기가 낫길 바래요.,감사합니다 선생님.
"안녕하세요, 어디가 아파요?",허리가 너무 아파요..
언제부터 허리가 아프셨어요?,몇일전부터 그랬어요.
허리 아픈 곳을 자세히 설명해주세요.,허리 중간부분이 가장 아파요.
허리를 조금씩 움직여보세요.,네 의사선생님.
아파요?,네 아파요..
아파요?,아니요 그렇게 아프진 않아요.
"안녕하세요, 어디가 아파요?",손가락이 부러진 것 같아요.
어머...많이 부은 것 같아요. ,네...많이 부었더라고요..
제가 붕대를 감아줄테니깐 잠시만 기다리세요.,네 감사합니다.
날씨가 추워져서 따뜻하게 잘 입고 다니셔야해요.,네 의사선생님.
약을 많이 처방해줄테니 걱정하지 마세요.,네! 감사합니다.
안녕히 가세요,네 의사선생님. 감사합니다!
잘가요,네 의사선생님. 감사합니다!
안녕히 가세요,네 의사선생님. 감사합니다!
조심히 가요,네 의사선생님. 감사합니다!
잘 가요,네 의사선생님. 감사합니다!
안녕히 가세요,네 의사선생님. 감사합니다!
안녕히 가세요,네 의사선생님. 감사합니다!
어디가 아파서 왔어요?,"배가 아파요, 선생님"
어디가 아파요?,열이 나는 것 같아요ㅠㅠ
왜 왔어요? 어디가 아파요?,기침을 계속 해요
어디가 아파서 왔어요?,목이 아파요ㅠㅠ 진료해주세요
배가 어디가 아파요?,"여기, 배꼽 위에가 아파요"
배가 얼마나 아파요?,으악 ㅠㅠ 못 참을 정도로 너무요!
언제부터 배가 아팠어요?,어제 저녁부터요
열 재 볼게요! 안아프게 해 줄게요,네 선생님!
기침을 언제부터 했어요?,음.. 며칠 전부터 기침하기 시작했어요
입 벌리고 아~ 해봐요,아아~~
청진기로 진료해 줄게요,네 선생님!
옷을 조금만 올려보세요 ~ ~ 대볼께요 ~,네 선생님!
목이 언제부터 아팠어요?,오늘 아침부터 아프기 시작했어요ㅠㅠ
목이 얼마나 아파요?,침 삼키기 힘들 정도로 아파요
약 만들어줄게요! 이거 먹으면 나을거에요,네! 감사합니다 선생님! 
자! 이거 약 먹어요!,움냠냠냠 오! 더 나은 것 같아요 선생님!
음 ~ 열이 많이 나네요?,네 선생님ㅠ 약 지어주세요
"안녕하세요, 무엇을 도와줄까요?",어제부터 너무 너무 아파서 왔어요
주사 놔 줄게요 그럼 나을게요,"아프지 않게 주사 놓아주세요,, ㅠ"
주사 맞춰줄게요,"아프지 않게요!! 살살 해주세요, 선생님!"
여기 약 만들었어요.,감사합니다. 약 잘 챙겨 먹을게요
또 어디가 아파요?,이제 괜찮은 것 같아요! 선생님 덕분이에요 ~!!
약 먹고도 다시 또 찾아오세요,네 선생님!
또 다른 증상은 없었나요?,콧물도 나는 것 같아요
목이 어떻게 아파요?,따끔거리고 말할 때마다 아파요
약 처방해 줄건데 알약 먹을 수 있나요?,아뇨. 알약 못 먹어요
어디가 아파요?,코가 막히고 기침을 너무 많이 하고 기운이 없어요
약 처방해 줄게요. 알약 먹을 수 있나요?,"네, 먹을 수 있어요"
네 그럼 물약으로 줄게요,"네 감사합니다, 선생님"
아~~ 해보세요,아~
목이 부은 것 같네요. ,"네, 약 처방해 주세요."
여기가 아파요?,어디를 말하는지 모르겠어요. 
몸은 금방 나을 거에요,"감사합니다, 몸 관리 잘 하겠습니다."
아프면 또 와요,네~ 감사합니다. 안녕히 계세요!
처방해준 약 먹어보구 아프면 또 방문해줘요,네 의사선생님. 몸 관리 잘해서 금방 낫도록 할게요. 감사합니다!
내가 아픈 곳 치료해줄게요,제발요ㅠㅠ 선생님의 도움이 필요해요!
왜 왔어요? ,몸이 떨려요. 뭔가 감기 기운이 있는 것 같아요 ㅠㅠ
언제부터 몸살 기운이 있었어요?,자고 일어나니까 그랬어요
체온 재 볼게요.,네
열을 재볼께요. 귀 좀 보여주세요.,네
요새 감기가 유행이에요. 감기약 처방해 줄게요,감사합니다. 효과 좋은 약으로 부탁드려요!
배 아픈 곳을 알려주세요,"여기, 명치 아래에요!"
배 아픈 것 말고 다른 증상은요?,무언가를 먹으면 설사를 해요
장염인 것도 같네요 장염약 줄게요,"네, 감사합니다!"
물 많이 마시고 잠도 많이 자세요,"알겠습니다, 잘 관리해볼게요"
독감인 것 같아요. ,네? ㅠㅠ 효과 엄청 좋은 약으로 처방해주세요 선생님
코는 언제부터 막혔어요?,어제부터 막히기 시작했어요
코막힘 약도 처방해 줄게요,"네 알겠습니다, 선생님"
감기 증상이에요. 요새 이게 유행이에요,그쵸 ㅠㅠ 일주일 정도 약 처방해 주세요
네 알겠어요,"감사합니다, 선생님"
어때요?,이제 하나도 안 아파요! 선생님 덕분이에요!!
아파요?,네ㅠㅠ 너무 아파요
어이구 많이 아팠겠어요.,네 많이 아팠어요...
이거 잠시만 이러고 있으세요.,네..
주사 맞춰줄게요,주사 무서워요..
아프지 않을거에요. 살짝 따끔할거에요.,무섭지만 잘 참아볼께요
입을 더 크게 벌려주세요~,아아~~
어이구 목이 많이 부었네요,목이 많이 아파요..
목에는 큰 이상이 없는 것 같아요.,아 정말요? 다행이에요!!
약이 많이 졸릴수도 있어요.,네 의사선생님~
제가 약 처방 잘 해드렸어요 ~,역시 의사선생님이에요! 감사합니다!
열 재보니깐 열은 크게 떨어진 것 같아요.,휴 다행이에요.
걱정마세요. 아주 살짝 아플거에요.,네.. 참아볼게요 의사선생님..
어유 어쩌다가 감기에 걸렸어요?,친구한테 옮은 것 같아요..
어유 어쩌다가 감기에 걸린 거에요?,가족한테 옮은 것 같아요..
감기에 어떻게 하다가 걸리게 되었어요?,아이스크림을 너무 많이 먹어서 그런 것 같아요..
너무 무리하지 말고 푹 쉬세요.,네. 감기가 나을때까진 푹 쉬어야겠어요.
여기 잠시만 누워보실래요?,네
안녕하세요~,안녕하세요 의사선생님!
안녕하세요 오랜만이에요.,네 의사선생님! 오랜만에 뵙네요.
어디가 아파요?,배가 아파요..
언제부터 그런 증상이 있었어요?,어제 저녁부터 그랬어요.
소화가 잘 안되나요?,네 소화가 잘 안되는 것 같아요..
어떤 음식을 먹었는데 그렇나요?,엄청나게 매운 음식을 먹었어요..
무슨 음식을 먹었는데요?,유통기한이 지난 음식을 먹었어요..
뭘 먹었는지 자세히 알려줄 수 있어요?,얼마전에 시켜먹은 치킨을 먹었어요.
어이구 음식이 상했나보군요.,네..그런 것 같아요.
운동을 하세요.,그래야겠어요.
음식을 먹은 후 어떤 증상이 있었나요?,"계속 설사를 하게 되고, 머리가 어지러웠어요."
목이 마르는 것 외에 어떤 증상이 있었나요?,음식을 삼키기가 힘들었어요. 그리고 잘 때 침 삼킬 때가 따가웠어요.
어이구.. 목이 아파서 힘드셨겠어요. 따뜻한 물을 많이 마시세요.,네 알겠습니다.
머리가 아파서 오셨다니..힘드셨겠어요.,네 머리가 너무 아파요.
머리가 아플때는 푹 쉬는게 제일 좋아요!,푹 쉬어야할 것 같아요..
음식을 조심해서 드세요.,네 의사선생님. 혹시 피해야 할 음식이 있을까요?
음.. 특히 맵거나 짠 음식을 피해야 할 것 같아요,네 알겠습니다. 꼭 조심할게요.
어디가 아파서 오셨어요?,발이 너무 아파요..
무슨일이 있었길래 발이 아프신가요?,발을 삐끗했어요.
언제부터 발이 아팠어요?,오늘 아침부터 너무 너무 아팠어요...
발 아픈곳을 자세히 설명해주실래요?,발뒤꿈치가 가장 아파요.
꾹 눌러볼께요. 아파요?,아니요. 괜찮은 것 같아요.
여기는 아파요?,아악.. 너무 아파요.
발 아픈 곳을 찜질해주세요. ,"네, 선생님."
얼른 감기가 낫길 바래요.,감사합니다 선생님.
"안녕하세요, 어디가 아파요?",허리가 너무 아파요..
언제부터 허리가 아프셨어요?,몇일전부터 그랬어요.
허리 아픈 곳을 자세히 설명해주세요.,허리 중간부분이 가장 아파요.
허리를 조금씩 움직여보세요.,네 의사선생님.
아파요?,네 아파요..
아파요?,아니요 그렇게 아프진 않아요.
"안녕하세요, 어디가 아파요?",손가락이 부러진 것 같아요.
어머...많이 부은 것 같아요. ,네...많이 부었더라고요..
제가 붕대를 감을 테니 잠시만 기다리세요.,네 감사합니다.
날씨가 추워져서 따뜻하게 옷 입고 다니셔야해요.,네 의사선생님.
약을 따로 처방해줄테니 걱정하지 마세요.,네! 감사합니다.
안녕히 가세요,네 의사선생님. 감사합니다!
잘가요,네 의사선생님. 감사합니다!
안녕히 가세요,네 의사선생님. 감사합니다!
조심히 가요,네 의사선생님. 감사합니다!
어디가 아파서 왔어요?,"배가 아파요, 선생님"
어디가 아파요?,열이 나는 것 같아요ㅠㅠ
왜 왔어요? 어디가 아파요?,기침을 끊이지 않고 잇따라 해요
어디가 아파서 왔어요?,목이 아파요ㅠㅠ 진료해주세요
배가 어디가 아파요?,"여기, 배꼽 위에가 아파요"
배가 어느 정도로 아파요?,으악 ㅠㅠ 못 참을 정도로 지나치게 아파요
언제부터 배가 아팠어요?,어제 저녁부터요
열 한 번 재 볼게요! 안아프게 해 줄게요,네 선생님만 믿어요
기침을 언제부터 했어요?,음.. 2일 전부터 기침하기 시작했어요
입 벌리고 아~ 해봐요,아아~~
청진기로 진료해 줄게요,네 선생님!
옷을 조금만 올려보세요~ 청진기 대볼께요~,네 선생님!
목이 언제부터 아팠어요?,오늘 아침부터 아프기 시작했어요ㅠㅠ
목이 어느 정도로 아파요?,침 삼키기 힘들 정도로 아파요
약 만들어줄게요! 다 먹으면 나을거에요,네! 감사합니다 선생님! 
자! 이거 약 먹어요!,움냠냠냠  오! 다 나은 것 같아요 선생님!
음 환자분 열이 평균보다 많이 나네요?,네 선생님ㅠ 약 지어주세요
"안녕하세요, 무엇을 도와줄까요?",어제부터 머리가 지나치게 아파서 왔어요
주사 놔 줄게요 그럼 나을 거에요,"아프지 않게 주사 놓아주세요, 선생님 ㅠ"
여기 약 만들었어요.,감사합니다 선생님! 약 잘 챙겨 먹을게요
약 먹고도 아프면 또 찾아오세요,네 선생님!
또 다른 증상은 없었나요?,콧물도 나는 것 같아요
목이 어떻게 아파요?,따끔거리고 말할 때마다 아파요
약 처방해 줄게요. 알약 먹을 수 있나요?,아뇨. 알약 못 먹어요
어디가 아파요?,코가 막히고 기침을 너무 많이 하는 것 같아요
약 처방해 줄게요. 알약 먹을 수 있나요?,"네, 먹을 수 있어요"
네 그럼 물약으로 줄게요,"네 감사합니다, 선생님"
아~~ 해보세요,아~
목이 부은 것 같네요. ,"네, 약 처방해 주세요."
여기가 아파요?,어디를 말하는지 모르겠어요. 
약 먹으면 바로 나을 거에요,"감사합니다, 잘 챙겨 먹겠습니다!"
아프면 또 와요,네~ 감사합니다. 안녕히 계세요!
처방해준 약 먹어보구 아프면 또 오세요,네 의사선생님. 꼭 다 나을게요. 감사합니다!
내가 아픈 곳 치료해 줄게요,간절하게 바라건대요ㅠㅠ 선생님의 도움이 필요해요!
왜 왔어요? ,몸이 떨려요. 몸살 기운이 있는 것 같아요 ㅠㅠ
언제부터 몸살 기운이 있었어요?,자고 일어나니까 그랬어요
체온 재 볼게요.,네
열을 재볼께요. 귀를 가져다가 대주세요~,네
요새 감기가 유행이에요. 감기약 처방해 줄게요,감사합니다. 효과 좋은 걸로 해주세요!
배 아픈 곳을 알려주세요,"여기, 명치 아래에요!"
배 아픈 것 말고 다른 증상은요?,먹으면 설사를 해요
장염인 것 같네요. 장염약 줄게요,"네, 감사합니다!"
독감인 것 같아요. ,네? ㅠㅠ 효과 좋은 약으로 처방해주세요 선생님
코는 언제부터 막혔어요?,어제부터 막히기 시작했어요
코막힘 약도 처방해 줄게요,"네 알겠습니다, 선생님"
감기 증상이에요. 요새 감기가 유행이에요,그쵸 ㅠㅠ 3일 정도 약 처방해 주세요
네 알겠어요,"감사합니다, 선생님"
주사 맞춰줄게요,주사 무서워요..
아프지 않을거에요.  아무도 모를 정도로 재빠르게 따끔할거에요.,무섭지만 잘 참아볼께요
입을 더 크게 벌려주세요~,아아~~
제가 아프지 않게 약 처방 잘 해드렸어요~,역시 의사선생님이에요! 감사합니다!
열 재보니깐 열은 크게 안나는 것 같아요. ,휴 다행이에요.
걱정마세요 환자분~ 아주 잠깐 아플거에요.,감사합니다 의사선생님..
감기에 어떻게 하다가 걸리게 되었어요?,아이스크림을 지나치게 많이 먹어서 그런 것 같아요..
지나치게 무리하지 말고 푹 쉬세요.,네 의사선생님. 감기가 나을때까진 푹 쉬어야겠어요.
여기 잠깐 동안에만 누워보실래요?,네
안녕하세요~,안녕하세요 의사선생님!
안녕하세요 오랜만이에요.,네 의사선생님! 오랜만에 뵙네요.
어디가 아파요?,배가 아파요..
언제부터 그런 증상이 있었어요?,어제 저녁부터 그랬어요.
소화가 잘 안되나요?,네 소화가 잘 안되는 것 같아요..
어떤 음식을 먹었는데 그렇나요?,엄청나게 매운 음식을 먹었어요..
무슨 음식을 먹었는데요?,유통기한이 지난 음식을 먹었어요..
뭘 먹었는지 사소한 부분까지 구체적이고 분명하게 알려줄 수 있어요?,얼마전에 시켜먹은 치킨을 먹었어요. 근데 치킨이 주문한 지 일주일이 지났던 치킨이었어요
어이구 음식이 상했나보군요.,네..그런 것 같아요.
운동을 하세요.,그래야겠어요.
음식을 먹은 후 어떤 증상이 있었나요?,"끊이지 않고 잇따라 설사를 하고, 어지러움증이 나타났어요."
목이 아플때 어떤 증상이 있었나요?,"음식을 삼키기가 힘들었어요. 그리고 잘 때, 침 삼킬 때 목이 따가웠어요."
어이구..목이 아파서 힘드셨겠어요. 따뜻한 물을 자주 많이 드세요.,네 알겠습니다.
머리가 아플때는 푹 쉬는게 여럿 가운데 최고로 좋아요.,푹 쉬어야할 것 같아요..
음식을 조심해서 드세요.,네 의사선생님. 피해야 할 음식이 있을까요?
음.. 다른 것보다 더욱 두드러지게 맵거나 짠 음식을 조심하세요.,네 알겠습니다. 꼭 조심할게요.
곧 감기가 낫길 바래요,감사합니다 선생님.
"안녕하세요, 어디가 아파요?",허리가 지나치게 아파요..
언제부터 허리가 아프셨어요?,몇일전부터 그랬어요.
허리 아픈 곳을 사소한 부분까지 구체적이고 분명하게 설명해주세요.,허리 중간부분이 욱씬거리고 가장 아파요.
허리를 조금씩 움직여보세요.,네 의사선생님.
아파요?,네 아파요..
아파요?,아니요 못 참을 정도로 아프진 않아요.
"안녕하세요, 어디가 아파요?",손가락이 부러진 것 같아요.
제가 붕대를 감아줄테니깐 잠시만 기다리세요.,네 감사합니다.
날씨가 추워져서 따듯하게 잘 입고 다니셔야해요.,네 의사선생님.
아무탈이나 걱정이 없이 편안하게 가세요,네 의사선생님. 감사합니다!
잘가요,네 의사선생님. 감사합니다!
아무탈이나 걱정이 없이 편안하게 가세요,네 의사선생님. 감사합니다!
아무탈이나 걱정이 없이 편안하게 가세요,네 의사선생님. 감사합니다!
언제부터 배가 아팠어요?,어제 저녁부터요
기침을 언제부터 했어요?,음.. 며칠 전부터 기침하기 시작했어요
입 벌리고 아~ 해봐요,아아~~
청진기로 진료해 줄게요,네 선생님!
옷을 조금만 올려보세요 ~ ~ 대볼께요 ~,네 선생님!
목이 언제부터 아팠어요?,오늘 아침부터 아프기 시작했어요ㅠㅠ
약 만들어줄게요! 이거 먹으면 나을거에요,네! 감사합니다 선생님! 
자! 이거 약 먹어요!,움냠냠냠 오! 더 나은 것 같아요 선생님!
주사 놔 줄게요 그럼 나을게요,"아프지 않게 주사 놓아주세요,, ㅠ"
여기 약 만들었어요.,감사합니다. 약 잘 챙겨 먹을게요
또 다른 증상은 없었나요?,콧물도 나는 것 같아요
목이 어떻게 아파요?,따끔거리고 말할 때마다 아파요
네 그럼 물약으로 줄게요,"네 감사합니다, 선생님"
아~~ 해보세요,아~
목이 부은 것 같네요. ,"네, 약 처방해 주세요."
여기가 아파요?,어디를 말하는지 모르겠어요. 
아프면 또 와요,네~ 감사합니다. 안녕히 계세요!
왜 왔어요? ,몸이 떨려요. 뭔가 기운이 있는 것 같아요 ㅠㅠ
언제부터 몸살 기운이 있었어요?,자고 일어나니까 그랬어요
체온 재 볼게요.,네
배 아픈 곳을 알려주세요,"여기, 명치 아래에요!"
배 아픈 것 말고 다른 증상은요?,먹으면 설사를 해요
